"price","mileage","year","model","date","origin","d2005","d2006","d2007","d2008","d2009","d2010","d2011","d2012","d2013","d2014","d2015","d2016","website_id","car_id"
14998,48361,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
12890,77585,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
13988,34748,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
9990,64583,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
10888,89073,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
8898,74215,"2011","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,1,0,0,0,0,0,1,2
12500,78488,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
6988,121932,"2007","Scion tC Spec",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
14992,41165,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
16111,17371,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
3991,132640,"2005","Scion tC",2020-12-17,"autotrader",1,0,0,0,0,0,0,0,0,0,0,0,1,2
13000,39946,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
2500,273490,"2007","Scion tC Spec",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
4600,177149,"2010","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,1,0,0,0,0,0,0,1,2
10500,75028,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
5555,122080,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
7490,112243,"2011","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,1,0,0,0,0,0,1,2
12795,63466,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
11999,61618,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
9000,100170,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
14836,56315,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
12996,50155,"2014","Scion tC Monogram Series",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
5771,107085,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
12992,59621,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
10990,70478,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
9700,79709,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
14777,50049,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
11982,81312,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
12695,65036,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
12959,43557,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
11900,78159,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
12795,66510,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
4995,146205,"2008","Scion tC",2020-12-17,"autotrader",0,0,0,1,0,0,0,0,0,0,0,0,1,2
13994,38843,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
12495,63264,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
5900,128000,"2010","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,1,0,0,0,0,0,0,1,2
8995,92464,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
9977,110310,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
9000,118418,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
10341,99385,"2014","Scion tC 10 Series",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
13995,69026,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
15444,57921,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
4450,126175,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
14993,75334,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
8765,110270,"2012","Scion tC Release Series 7.0",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
12597,35372,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
10997,77285,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
5492,121229,"2007","Scion tC Spec",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
13150,51842,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
6150,103185,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
5995,111511,"2009","Scion tC",2020-12-17,"autotrader",0,0,0,0,1,0,0,0,0,0,0,0,1,2
3777,153000,"2009","Scion tC",2020-12-17,"autotrader",0,0,0,0,1,0,0,0,0,0,0,0,1,2
5988,77550,"2006","Scion tC",2020-12-17,"autotrader",0,1,0,0,0,0,0,0,0,0,0,0,1,2
4991,128792,"2006","Scion tC",2020-12-17,"autotrader",0,1,0,0,0,0,0,0,0,0,0,0,1,2
10999,93741,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
4900,121804,"2010","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,1,0,0,0,0,0,0,1,2
12999,70545,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
4488,142832,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
10999,89755,"2011","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,1,0,0,0,0,0,1,2
8911,197536,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
9988,132027,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
6900,137111,"2008","Scion tC",2020-12-17,"autotrader",0,0,0,1,0,0,0,0,0,0,0,0,1,2
4695,141700,"2009","Scion tC",2020-12-17,"autotrader",0,0,0,0,1,0,0,0,0,0,0,0,1,2
14195,49503,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
5995,152075,"2006","Scion tC",2020-12-17,"autotrader",0,1,0,0,0,0,0,0,0,0,0,0,1,2
5995,112904,"2005","Scion tC",2020-12-17,"autotrader",1,0,0,0,0,0,0,0,0,0,0,0,1,2
6291,116951,"2009","Scion tC",2020-12-17,"autotrader",0,0,0,0,1,0,0,0,0,0,0,0,1,2
6499,103485,"2006","Scion tC",2020-12-17,"autotrader",0,1,0,0,0,0,0,0,0,0,0,0,1,2
9999,110300,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
9777,111272,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
11333,97487,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
10999,109703,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
14995,26588,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
11499,78850,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
8999,95638,"2010","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,1,0,0,0,0,0,0,1,2
7988,112000,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
12598,78000,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
7999,105881,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
5888,110438,"2007","Scion tC Spec",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
10995,110099,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
4977,133723,"2009","Scion tC",2020-12-17,"autotrader",0,0,0,0,1,0,0,0,0,0,0,0,1,2
5977,146813,"2006","Scion tC",2020-12-17,"autotrader",0,1,0,0,0,0,0,0,0,0,0,0,1,2
11300,63003,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
9999,144705,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
3990,158000,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
14995,73738,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
6500,115307,"2007","Scion tC",2020-12-17,"autotrader",0,0,1,0,0,0,0,0,0,0,0,0,1,2
9500,100658,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
9995,95709,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
6995,132694,"2010","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,1,0,0,0,0,0,0,1,2
7995,125941,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
12500,84690,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
9995,90005,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
11500,74087,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
9999,73933,"2011","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,1,0,0,0,0,0,1,2
11991,90573,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
7998,59232,"2008","Scion tC",2020-12-17,"autotrader",0,0,0,1,0,0,0,0,0,0,0,0,1,2
8495,125892,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
15929,56545,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
9999,113020,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
6599,152699,"2009","Scion tC",2020-12-17,"autotrader",0,0,0,0,1,0,0,0,0,0,0,0,1,2
5991,139346,"2008","Scion tC",2020-12-17,"autotrader",0,0,0,1,0,0,0,0,0,0,0,0,1,2
9500,112159,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
11498,83898,"2012","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,1,0,0,0,0,1,2
14988,85574,"2015","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,1,0,1,2
7999,166712,"2009","Scion tC",2020-12-17,"autotrader",0,0,0,0,1,0,0,0,0,0,0,0,1,2
4995,144613,"2005","Scion tC",2020-12-17,"autotrader",1,0,0,0,0,0,0,0,0,0,0,0,1,2
7999,138556,"2011","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,1,0,0,0,0,0,1,2
12995,79733,"2014","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,1,0,0,1,2
6499,132513,"2008","Scion tC",2020-12-17,"autotrader",0,0,0,1,0,0,0,0,0,0,0,0,1,2
5499,130586,"2008","Scion tC",2020-12-17,"autotrader",0,0,0,1,0,0,0,0,0,0,0,0,1,2
8995,170918,"2013","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,1,0,0,0,1,2
14983,28703,"2016","Scion tC",2020-12-17,"autotrader",0,0,0,0,0,0,0,0,0,0,0,1,1,2
11750,104802,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
13988,34748,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
9700,79709,"2012","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
8898,74215,"2011","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,1,0,0,0,0,0,2,2
12500,78488,"2015","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
9999,113710,"2011","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,1,0,0,0,0,0,2,2
9990,64583,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
10995,110099,"2015","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
7995,129026,"2012","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
10590,76995,"2012","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
12990,77440,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
16990,4509,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
3777,153000,"2009","Scion tC",2020-12-17,"cars",0,0,0,0,1,0,0,0,0,0,0,0,2,2
4600,177149,"2010","Scion tC",2020-12-17,"cars",0,0,0,0,0,1,0,0,0,0,0,0,2,2
2500,273490,"2007","Scion tC Base",2020-12-17,"cars",0,0,1,0,0,0,0,0,0,0,0,0,2,2
9195,126342,"2011","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,1,0,0,0,0,0,2,2
6495,117932,"2010","Scion tC",2020-12-17,"cars",0,0,0,0,0,1,0,0,0,0,0,0,2,2
6850,97303,"2008","Scion tC",2020-12-17,"cars",0,0,0,1,0,0,0,0,0,0,0,0,2,2
10890,84601,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
12990,92447,"2014","Scion tC Monogram",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
12500,89416,"2016","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,0,1,2,2
6150,103185,"2007","Scion tC Base",2020-12-17,"cars",0,0,1,0,0,0,0,0,0,0,0,0,2,2
12597,35372,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
9500,100658,"2016","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,0,1,2,2
13333,107435,"2015","Scion tC 2.5L",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
5888,110438,"2007","Scion tC Base",2020-12-17,"cars",0,0,1,0,0,0,0,0,0,0,0,0,2,2
6988,121932,"2007","Scion tC Base",2020-12-17,"cars",0,0,1,0,0,0,0,0,0,0,0,0,2,2
14995,26588,"2016","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,0,1,2,2
8911,197536,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
7995,125941,"2013","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
16111,17371,"2016","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,0,1,2,2
10500,75028,"2013","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
11900,78159,"2015","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
14990,43219,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
15990,20970,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
8999,135708,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
5995,111511,"2009","Scion tC",2020-12-17,"cars",0,0,0,0,1,0,0,0,0,0,0,0,2,2
11999,61618,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
15444,57921,"2015","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
14998,59801,"2014","Scion tC Monogram",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
9999,110300,"2013","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
12088,86583,"2015","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
11777,98065,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
5905,188304,"2007","Scion tC Base",2020-12-17,"cars",0,0,1,0,0,0,0,0,0,0,0,0,2,2
12500,60342,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
10995,95324,"2012","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
8765,110270,"2012","Scion tC Release Series 7.0",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
9777,111272,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
5995,112904,"2005","Scion tC",2020-12-17,"cars",1,0,0,0,0,0,0,0,0,0,0,0,2,2
11300,63003,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
11991,90573,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
9500,112159,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
11982,81312,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
7988,112000,"2013","Scion tC SPORTS 6-SPD",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
14599,70454,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
5000,171936,"2008","Scion tC",2020-12-17,"cars",0,0,0,1,0,0,0,0,0,0,0,0,2,2
12991,66460,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
8999,95638,"2010","Scion tC",2020-12-17,"cars",0,0,0,0,0,1,0,0,0,0,0,0,2,2
5900,128000,"2010","Scion tC",2020-12-17,"cars",0,0,0,0,0,1,0,0,0,0,0,0,2,2
14836,56315,"2016","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,0,1,2,2
10950,90932,"2014","Scion tC Monogram",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
13150,51842,"2016","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,0,1,2,2
12996,50155,"2014","Scion tC Monogram",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
6985,47213,"2008","Scion tC",2020-12-17,"cars",0,0,0,1,0,0,0,0,0,0,0,0,2,2
12992,59621,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
7999,138556,"2011","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,1,0,0,0,0,0,2,2
6599,152699,"2009","Scion tC",2020-12-17,"cars",0,0,0,0,1,0,0,0,0,0,0,0,2,2
12999,70545,"2015","Scion tC Release Series 9.0",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
6291,116951,"2009","Scion tC",2020-12-17,"cars",0,0,0,0,1,0,0,0,0,0,0,0,2,2
4991,128792,"2006","Scion tC",2020-12-17,"cars",0,1,0,0,0,0,0,0,0,0,0,0,2,2
9999,78650,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
9988,132027,"2007","Scion tC Base",2020-12-17,"cars",0,0,1,0,0,0,0,0,0,0,0,0,2,2
14595,50803,"2015","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
12598,78000,"2014","Scion tC Anniversary Edition",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
7999,105881,"2015","Scion tC SPORTS 6-SPD",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
11333,97487,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
14988,85574,"2015","Scion tC 9.0",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
14998,52538,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
8495,125892,"2012","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
5990,131271,"2009","Scion tC",2020-12-17,"cars",0,0,0,0,1,0,0,0,0,0,0,0,2,2
11995,45000,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
12998,90323,"2014","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
14998,48361,"2015","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,0,1,0,2,2
6950,131037,"2007","Scion tC Base",2020-12-17,"cars",0,0,1,0,0,0,0,0,0,0,0,0,2,2
12998,59735,"2011","Scion tC Base",2020-12-17,"cars",0,0,0,0,0,0,1,0,0,0,0,0,2,2
11599,63206,"2010","Scion tC",2020-12-17,"cars",0,0,0,0,0,1,0,0,0,0,0,0,2,2
9998,117990,"2012","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
11599,85559,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
12590,48309,"2012","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
13990,42268,"2013","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,0,1,0,0,0,2,2
12590,78109,"2012","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
12590,79818,"2014","Scion tC 10 Series",2020-12-17,"cars",0,0,0,0,0,0,0,0,0,1,0,0,2,2
10995,74562,"2012","Scion tC",2020-12-17,"cars",0,0,0,0,0,0,0,1,0,0,0,0,2,2
